hour	count
2015-06-21T21	1
2015-06-28T14	1
2015-07-08T17	1
2015-07-14T06	1
2015-07-16T12	1
2015-07-21T15	1
2015-07-23T15	1
2015-07-24T08	1
2015-07-24T14	1
2015-07-27T20	1
2015-07-29T00	1
2015-07-29T11	1
2015-07-29T21	1
2015-07-30T16	1
2015-07-30T17	1
2015-08-01T12	1
2015-08-01T20	1
2015-08-02T05	1
2015-08-04T06	1
2015-08-04T14	1
2015-08-05T09	1
2015-08-07T20	1
2015-08-07T22	2
2015-08-08T12	1
2015-08-08T14	1
2015-08-08T18	1
2015-08-10T00	1
2015-08-10T12	1
2015-08-10T14	1
2015-08-10T21	1
2015-08-11T12	1
2015-08-11T21	1
2015-08-12T18	1
2015-08-12T21	2
2015-08-13T06	1
2015-08-13T10	3
2015-08-13T11	1
2015-08-13T23	1
2015-08-14T12	1
2015-08-14T14	1
2015-08-16T18	1
2015-08-18T11	1
2015-08-18T15	1
2015-08-18T20	2
2015-08-18T23	1
2015-08-19T00	1
2015-08-19T05	1
2015-08-19T14	1
2015-08-19T15	1
2015-08-19T16	1
2015-08-19T19	3
2015-08-19T22	1
2015-08-20T07	1
2015-08-20T09	1
2015-08-20T10	1
2015-08-20T13	1
2015-08-20T15	1
2015-08-20T16	2
2015-08-20T17	3
2015-08-20T20	1
2015-08-20T21	2
2015-08-22T12	1
2015-08-22T15	1
2015-08-22T22	2
2015-08-23T02	1
2015-08-24T18	1
2015-08-25T17	1
2015-08-25T19	1
2015-08-27T01	1
2015-08-28T05	1
2015-08-28T06	1
2015-08-28T08	1
2015-08-28T16	1
2015-08-28T17	2
2015-08-28T22	1
2015-08-29T03	1
2015-08-29T07	2
2015-08-29T08	1
2015-08-29T10	2
2015-08-29T11	1
2015-08-29T12	3
2015-08-29T13	2
2015-08-29T16	1
2015-08-29T18	1
2015-08-29T21	1
2015-08-30T07	1
2015-08-30T08	1
2015-08-30T11	1
2015-08-30T13	1
2015-09-01T10	1
2015-09-01T16	1
2015-09-01T17	1
2015-09-02T16	1
2015-09-02T18	1
2015-09-03T17	1
2015-09-04T14	1
2015-09-04T15	1
2015-09-04T16	2
2015-09-04T22	2
2015-09-05T12	1
2015-09-06T13	1
2015-09-06T14	1
2015-09-09T07	1
2015-09-09T13	1
2015-09-10T10	1
2015-09-10T16	1
2015-09-10T17	2
2015-09-11T11	1
2015-09-11T14	2
2015-09-12T10	1
2015-09-12T17	1
2015-09-12T20	1
2015-09-13T07	1
2015-09-13T09	1
2015-09-13T10	1
2015-09-13T11	1
2015-09-13T13	1
2015-09-13T14	1
2015-09-13T20	1
2015-09-13T21	1
2015-09-14T17	1
2015-09-14T21	1
2015-09-15T02	1
2015-09-15T08	1
2015-09-15T10	3
2015-09-15T11	1
2015-09-15T12	1
2015-09-15T18	1
2015-09-15T20	3
2015-09-16T06	1
2015-09-16T13	1
2015-09-16T15	1
2015-09-16T21	1
2015-09-17T10	1
2015-09-17T14	1
2015-09-17T17	1
2015-09-18T12	1
2015-09-18T15	1
2015-09-19T07	1
2015-09-19T08	1
2015-09-19T10	1
2015-09-19T17	2
2015-09-19T23	1
2015-09-20T05	1
2015-09-20T14	1
2015-09-20T16	1
2015-09-21T13	1
2015-09-21T19	1
2015-09-21T21	1
2015-09-22T16	1
2015-09-23T11	1
2015-09-23T20	1
2015-09-24T20	1
2015-09-25T13	1
2015-09-26T11	1
