post_id	post_published_unix	comments_count_fb	shares_count_fb	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	post_published_sql
1008279892518211_1708661635813363	1505054226	1	5	0	0	0	8	1	0	13	0	0	0	tunis	2017-09-10 16:37:06
1008279892518211_1708956122450581	1505073825	0	0	0	0	0	2	0	0	0	0	0	0	tunis	2017-09-10 22:03:45
1008279892518211_1707703319242528	1504974630	105	28	78	134	0	149	13	0	35	6	0	0	tunis	2017-09-09 18:30:30
1008279892518211_1708698959142964	1505056529	4	39	0	5	0	20	0	6	0	1	14	0	benArous	2017-09-10 17:15:29
1008279892518211_1707358425943684	1504944876	1	6	0	0	0	12	1	0	0	0	0	0	tunis	2017-09-09 10:14:36
1008279892518211_1707987425880784	1504995418	8	7	2	10	0	49	4	0	0	0	0	0	tunis	2017-09-10 00:16:58
1008279892518211_1707907745888752	1504989304	11	29	0	3	0	13	0	9	1	0	12	0	tunis	2017-09-09 22:35:04
1008279892518211_1708476759165184	1505041661	0	0	0	0	0	2	0	0	0	0	0	0	tunis	2017-09-10 13:07:41
1008279892518211_1708372042508989	1505032270	3	1	0	4	0	2	1	0	0	0	0	0	tunis	2017-09-10 10:31:10
1008279892518211_1708421879170672	1505036376	0	0	0	0	0	5	4	0	0	0	0	0	tunis	2017-09-10 11:39:36
1008279892518211_1708181065861420	1505012370	0	10	0	0	0	2	0	0	1	1	0	0	tunis	2017-09-10 04:59:30
1008279892518211_1707708025908724	1504975033	1	2	0	0	0	3	0	3	1	0	5	0	tunis	2017-09-09 18:37:13
1008279892518211_1706822215997305	1504894814	24	2	9	20	0	9	0	0	0	0	0	0	tunis	2017-09-08 20:20:14
1008279892518211_1707785789234281	1504980562	0	0	0	0	0	0	0	0	0	0	0	0	tunis	2017-09-09 20:09:22
1008279892518211_1707664435913083	1504971973	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-09-09 17:46:13
1008279892518211_1707654965914030	1504971217	0	0	0	0	0	0	0	0	0	1	1	0	tunis	2017-09-09 17:33:37
1008279892518211_1705463736133153	1504785917	131	113	36	150	0	132	3	34	11	12	96	0	tunis	2017-09-07 14:05:17
1008279892518211_1707424982603695	1504953224	3	2	0	2	0	11	0	1	1	0	0	0	tunis	2017-09-09 12:33:44
1008279892518211_1707404929272367	1504950787	1	0	0	1	0	10	2	0	14	0	0	0	tunis	2017-09-09 11:53:07
1008279892518211_1705967586082768	1504821985	23	0	10	28	0	18	1	10	1	16	6	0	tunis	2017-09-08 00:06:25
1008279892518211_1704651529547707	1504716173	13	53	2	10	0	109	17	0	0	0	0	0	tunis	2017-09-06 18:42:53
1008279892518211_1704836032862590	1504729166	6	10	0	0	0	10	0	0	0	2	5	0	benArous	2017-09-06 22:19:26
1008279892518211_1705356502810543	1504776848	8	7	0	6	0	3	0	0	0	2	5	0	tunis	2017-09-07 11:34:08
1008279892518211_1705447179468142	1504784488	1	1	0	0	0	6	0	0	1	0	0	0	tunis	2017-09-07 13:41:28
1008279892518211_1704694906210036	1504719656	5	8	2	0	0	4	0	4	1	0	2	0	tunis	2017-09-06 19:40:56
1008279892518211_1704384009574459	1504698336	33	57	0	11	0	29	0	10	6	3	12	0	tunis	2017-09-06 13:45:36
1008279892518211_1704347249578135	1504695418	8	10	0	9	0	14	0	2	0	2	7	0	benArous	2017-09-06 12:56:58
1008279892518211_1703402699672590	1504617077	1	0	0	0	0	0	0	0	0	0	0	0	kairouan	2017-09-05 15:11:17
1008279892518211_1704272606252266	1504687954	0	0	0	0	0	5	0	0	0	0	0	0	tunis	2017-09-06 10:52:34
1008279892518211_1704205272925666	1504680195	0	0	0	0	0	14	1	0	0	0	0	0	sousse	2017-09-06 08:43:15
1008279892518211_1701980066481520	1504519766	34	0	15	39	0	18	0	0	0	0	0	0	tunis	2017-09-04 12:09:26
1008279892518211_1700568649955995	1504432509	0	16	0	0	0	9	0	0	0	5	7	0	sfax	2017-09-03 11:55:09
1008279892518211_1699105576768969	1504351394	3	4											tunis	2017-09-02 13:23:14
1008279892518211_1699952476684279	1504392114	8	3	3	4	0	8	1	0	0	1	1	0	ariana	2017-09-03 00:41:54
1008279892518211_1699723756707151	1504380609	2	1	1	2	0	12	0	0	1	0	0	0	tunis	2017-09-02 21:30:09
1008279892518211_1699592480053612	1504373970	0	2	0	0	0	2	0	2	1	0	1	0	tunis	2017-09-02 19:39:30
1008279892518211_1699407143405479	1504365297	0	0	0	0	0	1	0	0	0	0	0	0	ariana	2017-09-02 17:14:57
1008279892518211_1697576040255256	1504268923	6	5	3	4	0	10	0	0	0	0	0	0	tunis	2017-09-01 14:28:43
1008279892518211_1699247023421491	1504358384	0	2	0	0	0	11	0	0	0	0	0	0	tunis	2017-09-02 15:19:44
1008279892518211_1699161460096714	1504354415	5	0	2	5	0	14	0	0	0	0	0	0	tunis	2017-09-02 14:13:35
1008279892518211_1693083804037813	1504100149	29	50	17	9	0	14	0	6	0	4	15	0	tunis	2017-08-30 15:35:49
1008279892518211_1699072353438958	1504349361	0	14	0	0	0	5	0	0	7	0	0	0	tunis	2017-09-02 12:49:21
1008279892518211_1695522277127299	1504174006	17	0	2	11	0	14	2	1	1	2	10	0	tunis	2017-08-31 12:06:46
1008279892518211_1695881717091355	1504188227	16	3	8	2	0	9	0	0	1	5	4	0	tunis	2017-08-31 16:03:47
1008279892518211_1697441826935344	1504261767	1	0	0	1	0	13	1	0	0	0	0	0	sousse	2017-09-01 12:29:27
1008279892518211_1695852243760969	1504187211	1	0	0	0	0	0	0	0	1	1	1	0	bizert	2017-08-31 15:46:51
1008279892518211_1693810583965135	1504116928	26	10	7	13	0	61	8	0	1	0	0	0	zaghouan	2017-08-30 20:15:28
1008279892518211_1695811673765026	1504185808	6	0	3	3	0	4	0	0	0	0	0	0	sousse	2017-08-31 15:23:28
1008279892518211_1696672193678974	1504220513	0	0	0	0	0	0	0	0	0	0	0	0	manouba	2017-09-01 01:01:53
1008279892518211_1695978957081631	1504191607	5	1	1	0	0	5	0	0	0	1	2	0	nabeul	2017-08-31 17:00:07
1008279892518211_1692328800779980	1504083356	22	18	3	17	0	47	6	4	1	0	0	0	tunis	2017-08-30 10:55:56
1008279892518211_1693964097283117	1504121820	37	0	16	36	0	19	0	8	1	6	28	0	kef	2017-08-30 21:37:00
1008279892518211_1688888251124035	1503967649	33	0	14	19	0	57	0	4	46	16	11	0	tunis	2017-08-29 02:47:29
1008279892518211_1685012618178265	1503864171	55	0	14	55	0	106	0	1	1	9	26	0	tunis	2017-08-27 22:02:51
1008279892518211_1691167910896069	1504046438	21	0	8	13	0	18	0	2	0	3	3	0	benArous	2017-08-30 00:40:38
1008279892518211_1690240824322111	1504016274	86	18	56	138	0	182	6	0	0	0	0	0	kef	2017-08-29 16:17:54
1008279892518211_1688566134489580	1503959540	15	9	4	6	0	61	3	0	3	0	0	0	tunis	2017-08-29 00:32:20
1008279892518211_1687302731282587	1503929496	7	3	1	7	0	13	0	0	0	0	0	0	tunis	2017-08-28 16:11:36
1008279892518211_1688238057855721	1503949950	11	10	4	21	0	37	1	0	0	3	5	0	tunis	2017-08-28 21:52:30
1008279892518211_1687120407967486	1503926459	4	2	3	3	0	5	0	0	0	0	2	0	ariana	2017-08-28 15:20:59
1008279892518211_1686420221370838	1503901546	5	0	2	1	0	22	7	0	0	0	0	0	sousse	2017-08-28 08:25:46
1008279892518211_1686961201316740	1503922948	1	0	0	1	0	4	0	2	0	1	0	0	sousse	2017-08-28 14:22:28
1008279892518211_1686764138003113	1503917208	0	1	0	0	0	5	0	0	2	0	0	0	tunis	2017-08-28 12:46:48
1008279892518211_1683732684972925	1503830782	2	2	0	0	0	6	2	0	0	0	0	0	nabeul	2017-08-27 12:46:22
1008279892518211_1681583425187851	1503774238	2	0	0	3	0	7	0	0	0	0	0	0	nabeul	2017-08-26 21:03:58
1008279892518211_1684720121540848	1503854846	0	4	0	0	0	4	0	0	0	0	0	0	tunis	2017-08-27 19:27:26
1008279892518211_1676164895729704	1503613329	37	0	13	33	0	39	0	3	0	7	47	0	sousse	2017-08-25 00:22:09
1008279892518211_1684416134904580	1503847235	0	1	0	0	0	2	0	0	0	1	0	0	sousse	2017-08-27 17:20:35
1008279892518211_1683867941626066	1503834424	0	0	0	0	0	2	0	0	0	0	0	0	nabeul	2017-08-27 13:47:04
