place	hour	score
ariana	2015-06-21 23	0.105962127969
ariana	2015-07-24 10	0.0990351427072
ariana	2015-08-08 20	0.101268082132
ariana	2015-08-13 12	0.100339248054
ariana	2015-08-13 12	0.0974361434089
ariana	2015-08-13 12	0.104782510848
ariana	2015-08-18 22	0.0987014542939
ariana	2015-08-20 15	0.11190877016
ariana	2015-08-20 18	0.0929799669097
ariana	2015-08-20 23	0.0932816240969
ariana	2015-08-30 13	0.0937667829717
ariana	2015-09-01 18	0.101425379983
ariana	2015-09-05 00	0.0905768553633
ariana	2015-09-06 15	0.103995888057
ariana	2015-09-10 18	0.0916801078217
ariana	2015-09-13 15	0.105283470302
ariana	2015-09-13 16	0.0988273410128
ariana	2015-09-13 22	0.0887778965627
ariana	2015-09-19 19	0.0903189387425
ariana	2015-09-24 22	0.0889173900258
ariana	2015-09-26 23	0.0864196644087
ariana	2015-09-29 00	0.0909803268143
ariana	2015-09-29 17	0.0911205959939
ariana	2015-10-01 03	0.0895722760857
ariana	2015-10-01 15	0.0861750340872
ariana	2015-10-01 20	0.0845399594403
ariana	2015-10-01 21	0.0850430779453
ariana	2015-10-02 14	0.0834589333429
ariana	2015-10-03 13	0.0844107019805
ariana	2015-10-03 14	0.0799163707532
ariana	2015-10-03 19	0.0970074426793
ariana	2015-10-04 13	0.0879503892818
ariana	2015-10-11 17	0.0796007009941
ariana	2015-10-27 11	0.0742537122825
ariana	2015-11-10 19	0.0682660700552
ariana	2015-11-12 08	0.0719808499866
ariana	2015-11-25 16	0.0975395413668
ariana	2015-11-27 08	0.0802684521445
ariana	2015-11-29 12	0.0630169305176
ariana	2016-01-05 13	0.0646849729835
ariana	2016-01-07 20	0.0717236180447
ariana	2016-01-08 10	0.0639000635605
ariana	2016-01-09 23	0.0714014222091
ariana	2016-01-13 18	0.0593495647211
ariana	2016-01-29 22	0.0593495176806
ariana	2016-02-20 14	0.0553933553914
ariana	2016-02-23 08	0.057005379478
ariana	2016-03-01 12	0.0917762422786
ariana	2016-03-03 20	0.0530212215973
ariana	2016-04-13 15	0.05190303866
ariana	2016-04-15 17	0.0564123678265
ariana	2016-04-19 08	0.0460015132835
ariana	2016-04-26 01	0.0438487524924
ariana	2016-04-27 20	0.0444804268111
ariana	2016-05-03 12	0.0412425001386
ariana	2016-05-05 14	0.0426652105921
ariana	2016-05-06 10	0.0399082260722
ariana	2016-05-20 00	0.0396089673701
ariana	2016-05-27 16	0.0455226839471
ariana	2016-06-08 01	0.0394679580241
