type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	count
video	post_user_1008279892518211	1008279892518211_1708661635813363	https://www.facebook.com/1008279892518211/posts/1708661635813363	Fi tounes el kol en mode gémeaux c est pour rigoler	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21559939_1858527657512146_2431592577829437440_n.jpg?oh=3f553b1c560f97052625377520bbc62f&oe=5A1A6A97	https://scontent.xx.fbcdn.net/v/t15.0-10/21559939_1858527657512146_2431592577829437440_n.jpg?oh=7c17ac60318245168493068f8ffab97c&oe=5A4AD5EC	https://www.facebook.com/algamal.net/videos/1858524507512461/	facebook.com	2017-09-10T14:37:06+0000	1505054226	2017-09-10 16:37:06	8	1	22	5	28	1	1	0	0	0	8	1	0	13	0	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1708956122450581	https://www.facebook.com/1008279892518211/posts/1708956122450581	من اكبر الادلة على ان هذه الحكومة كسابقاتها فاشلة جدا جدا جدا هو كثرة حوادث المرور القاتلة هذه السنة و اخرها حادث اليوم اللي دمر عايلة كاملة  الحكومة هذي طيلة العطلة الصيفية ركزت الامن متاعها على حماية نفسها و حماية السياح و المواطن التونسي و السلامة متاعو اخر حاجة يفكروا فيها ماثمة حتى سياسة وقائية فعلية على طرقاتنا  انا تنقلت في الصيف هذا برشا مرات و مشيت مئات الكيلومترات ساعات تقعد تمشي اكثر من 100 كلم ما تعرضك حتى دورية مرورية رغم اللي تشوف برشا تجاوزات مرورية في الطريق ..سرعة جنونية ..مجاوزة ممنوعة الخ ...الخ ..مانيش فاهم النقاط الامنية القارة علاش حاطينها قدام المراكز و المناطق و الثكنات و ما هيش موجودة على الطرقات  سياسة عرجاء يدفع ثمنها الشعب التونسي المسكين .					2017-09-10T20:03:45+0000	1505073825	2017-09-10 22:03:45	3	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1707703319242528	https://www.facebook.com/1008279892518211/posts/1707703319242528	في دولة الإمارات الشقيقة ... إي هذوكم الي نقولو عليهم عربان الخليج يشربو في بول البعير ... الباسبور متاعك تطلعو بالأنتارنات تعمر البيانات وبعد نهارين يجيك للدار موش بالبوسطة يجيك بدرون إي إي درون هاك الطيارة الصغيرة الي بدون طيار .... أحنا في تونس متاع الثلاثة الاف سنة حضارة باش تطلع مضمون بالسوري يلزمك تمشي للبلدية الي تولدت فيها الي مرات تبعد على وين تسكن 500كم وتشد الصف نهار كامل ...... باش تعمل أي قضية يلزمك تعريف بالإمضاء ونسخة مطابقة للهم الأزرق.... واحنا لاهين نكمبنو كيفاش في التحوير الوزاري نحضرو مقعد في البرلمان لولد الرئيس باش يقعد عليه .... احنا موش نشربو في بول البعير .. احنا البعير شخصيا.  Meher Abassi					2017-09-09T16:30:30+0000	1504974630	2017-09-09 18:30:30	149	105	203	28	336	105	27	78	134	0	149	13	0	35	6	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1708698959142964	https://www.facebook.com/1008279892518211/posts/1708698959142964	Amina Draoui Ep Sakesli shared ‎أهالى بن عروس‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21582772_358657997897730_3106671676239118336_n.jpg?oh=b6ae7a6da8de563d048b41327a3b6fd7&oe=5A59B1C0	https://scontent.xx.fbcdn.net/v/t15.0-10/21582772_358657997897730_3106671676239118336_n.jpg?oh=1f270289b80bdc649facbe555e54ce41&oe=5A603F2D	https://www.facebook.com/ahalinabenarous/videos/358657631231100/	facebook.com	2017-09-10T15:15:29+0000	1505056529	2017-09-10 17:15:29	20	4	41	39	84	4	4	0	5	0	20	0	6	0	1	14	0	benArous	1
status	post_user_1008279892518211	1008279892518211_1707358425943684	https://www.facebook.com/1008279892518211/posts/1707358425943684	اكثر سنة في حياتي شفت و حسيت فيها غياب الدولة في الفضاء العام هي هذه السنة و خاصة في المناطق الداخلية  تخرج الى الشارع ..لولا وجود بعض الادارات العمومية التي تحمل علم تونس لشعرت بان مدينتك تنتمي الى لا شيء  لا تقوم السلط الجهوية امنية كانت او اقتصادية او صحية او بيئية بمراقبة الفضاء العام لا شارع و لا ساحة و لا تروتوار و لا حركة مرور و لا انتصاب فوضوي و لا تجاوزات للقانون و لا حتى شيء  لا سلطة لوالي و لا لمعتمد و لا لرئيس بلدية ..الناس و خاصة التجار و السواق يتصرفون بهمجية و فوضى و تسيب كقطيع من الحيوانات البرية في غابة و لا حسيب و لا رقيب  ماذا تفعل السلط الجهوية ؟؟؟؟ لاشيء  الخلاصة   حكام هذه البلاد صدعوا رؤوسنا بالحديث عن التشريعات و القوانين والاصلاحات و  الوقوف لتونس   و هات من هاك اللاوي   و في الواقع لا ترى الا الفوضى و الخراب يزيد كل يوم  و باش ما يقعدش كلامي عام ساعطيكم 3 امثلة من مدن فوضوية اصبحت كالاسطبل المليء بالابقار المجنونة قصور الساف و المكنين و الجم هذه المدن الفضاءات العامة فيها لا تخضع لاي قانون ..زوروا ان شئتم هذه المدن و سترون ان كلامي ووصفي صحيح جدا					2017-09-09T08:14:36+0000	1504944876	2017-09-09 10:14:36	12	1	13	6	20	1	1	0	0	0	12	1	0	0	0	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1707987425880784	https://www.facebook.com/1008279892518211/posts/1707987425880784	انا  و برشا ناس  كيفي  فدينا من اللغة الخشبية التي يستعملها السياسيون من نوع   نعول على وعي المواطن   تعول على ماذا ايها الابله ؟ هل تعول وعي على خضار يبيع سلعتو من غير مراقبة اقتصادية ؟ تعول على وعي صاحب مقهى او مطعم يخدم من غير حتى مراقبة صحية ؟ تعول على واحد يحط كرهبتو فوق التروتوار ؟ تعول على وعي سائق تاكسي باندي ؟ تعول   على وعي  ناس   تشوف   قدامها البوبالة متاع البلدية  فارغة  و تطيش  الزبلة في الكياس ؟ تعول على  وعي ناس تجري في 100 كلم في  الساعة في وسط المدينة ؟ تعول على وعي كلوشار  حايز  التروتوار بالسيف  و عامل فوقو تجارة ؟ طبقوا القانون يا من تحكمون تونس بلا قال وعي للا ريق بارد !					2017-09-09T22:16:58+0000	1504995418	2017-09-10 00:16:58	49	8	53	7	68	8	6	2	10	0	49	4	0	0	0	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1707907745888752	https://www.facebook.com/1008279892518211/posts/1707907745888752	Salma Belhadj Ghali shared ‎تونس اليوم - Tounes Alyoum‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21544385_2092256967466983_5699084846291222528_n.jpg?oh=3be9d8a0589bbae0b47185ff40bf5c26&oe=5A4FDCB2	https://scontent.xx.fbcdn.net/v/t15.0-10/21544385_2092256967466983_5699084846291222528_n.jpg?oh=e894c67a4ce2e387393ed1827eec1313&oe=5A571AC9	https://www.facebook.com/tounesalyoum.officiel/videos/2092253884133958/	facebook.com	2017-09-09T20:35:04+0000	1504989304	2017-09-09 22:35:04	13	11	35	29	75	11	11	0	3	0	13	0	9	1	0	12	0	tunis	1
link	post_user_1008279892518211	1008279892518211_1708476759165184	https://www.facebook.com/1008279892518211/posts/1708476759165184	الصفحة الرسمية للجمعية التونسية للحوكمة الرقمية. الرجاء دعمها  شكرا.	https://scontent.xx.fbcdn.net/v/t1.0-1/18118581_1680348378928211_6131403963371035485_n.jpg?oh=47c0d15132fb4094edf8dbc71c5c45e8&oe=5A52ADFE	https://scontent.xx.fbcdn.net/v/t1.0-1/18118581_1680348378928211_6131403963371035485_n.jpg?oh=47c0d15132fb4094edf8dbc71c5c45e8&oe=5A52ADFE	https://www.facebook.com/tegvt/	facebook.com	2017-09-10T11:07:41+0000	1505041661	2017-09-10 13:07:41	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1708372042508989	https://www.facebook.com/1008279892518211/posts/1708372042508989	mouvement citoyen du WORLD CLEANUP DAY 2018 est né en ESTONIE en 2008  son objectif est de fédérer l’ensemble de la société autour d’un projet commun : NETTOYER LA PLANÈTE de ses déchets sauvages en 1 JOUR  en réunissant 5% de la population mondiale  le samedi 15 Septembre   Un mouvement né en Estonie  En 2008  l’Estonie est parvenue à réunir 4% de sa population et à nettoyer 10 000 tonnes de déchets en quelques heures. Le mouvement  appelé Let’s Do It  s’est ensuite répandu partout dans le monde  Chez nous en tunisie il faut une mobilisation massive pour nettoyer le pays  comment impliquer le peuple a nettoyer le pays en une 1 seule journee. Organiser le CLEAN UP DAY EN TUNISIE CA SERA FORMIDABLE   Croyez moi hier j ai fait un grand tour dans la ville d alger .en venant de l aerport aucun dechet .zero bouteille ou canette. Une ville super propre et les citoyens font tout pour aider les municipalite.  Notre pays est devenu une poubelle a ciel ouvert .nos ministres .gouverneurs .maires ca ne les derange de vivre dans un pays sale	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21430146_10213593437205330_5381044067441019671_n.jpg?oh=d1c184fe8623782f4b8a1a2a2e631eb2&oe=5A463FDD	https://scontent.xx.fbcdn.net/v/t1.0-9/21430146_10213593437205330_5381044067441019671_n.jpg?oh=d629f357667eb4f59a216ae3d8eea606&oe=5A512D3B	https://www.facebook.com/photo.php?fbid=10213593437205330&set=gm.1708372042508989&type=3	facebook.com	2017-09-10T08:31:10+0000	1505032270	2017-09-10 10:31:10	2	3	3	1	7	3	3	0	4	0	2	1	0	0	0	0	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1708421879170672	https://www.facebook.com/1008279892518211/posts/1708421879170672	Riche et extrêmement variée  l architecture domestique et palatiale de la médina de Tunis marie l attachement aux traditions locales et l ouverture à une multitude d influences  émanant tant d Orient que d Occident. Au fil des siècles  la combinaison de ces dernières a engendré de véritables joyaux  admirables aussi bien par leur organisation spatiale  que par le foisonnement et la grâce caractérisant leurs décors.  Après avoir dédié ma précédente publication  au sein de ma rubrique patrimoniale dans La Presse magazine  à Dar Hussein  superbe palais dont l ampleur rivalise avec la splendeur de ses ornementations  c est à une grande demeure  non moins remarquable  située à proximité de ce dernier  que je consacre mon nouvel écrit. Celle-ci compte  indéniablement  parmi les plus anciennes et les plus belles illustrations de l habitation tunisoise.  En ce dimanche 10 septembre 2017  mon article  intitulé « Dar El Haddad  l ancienneté mêlée d élégance et d originalité...»  vient de paraître dans La Presse magazine. La première partie donne un aperçu sur la famille ayant marqué l histoire de l édifice  bien qu elle ne fut pas à l origine de sa construction  comprise entre le XVIe siècle et le début du XVIIe siècle.  Trois sections détaillent tant les diverses composantes de Dar El Haddad  que ses importantes facettes architecturales et décoratives  Outre un patio fort gracieux  un élément  localisé dans l une des salles de l étage  fait la renommée de ce fleuron patrimonial...Le dernier volet met en relief plusieurs aspects de ce monument  parmi lesquels figurent l administration qu il abrite de nos jours.  Parmi ces six photographies  cinq illustrent les différentes pages de mon écrit  qui s étend de la 12 page à la page 16 du magazine. La sixième photographie correspond à la deuxième image de mon article  montrant une vue partielle de l élégant patio de Dar El Haddad.					2017-09-10T09:39:36+0000	1505036376	2017-09-10 11:39:36	5	0	9	0	9	0	0	0	0	0	5	4	0	0	0	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1708181065861420	https://www.facebook.com/1008279892518211/posts/1708181065861420	Gattoufi Karim shared ‎Sky News Tunisia سكاي نيوز تونس‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21559772_1482980861781611_4101415930540589056_n.jpg?oh=d6d9db1804f2b42f07070c49e691341c&oe=5A512AF5	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21559772_1482980861781611_4101415930540589056_n.jpg?oh=1cbfe8d801d811860afc97caaf65a071&oe=5A5C1BD7	https://www.facebook.com/547183105361396/videos/1482971595115871/	facebook.com	2017-09-10T02:59:30+0000	1505012370	2017-09-10 04:59:30	2	0	4	10	14	0	0	0	0	0	2	0	0	1	1	0	0	tunis	1
