type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place
status	post_user_1008279892518211	1008279892518211_1276373355708862	https://www.facebook.com/1008279892518211/posts/1276373355708862	When there is a Will there  is a way continuons à pousser les autorités à appliquer la loi vive la société civile et vive la tunisie					2016-09-04T21:20:20+0000	1473024020	2016-09-04 23:20:20	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1276338765712321	https://www.facebook.com/1008279892518211/posts/1276338765712321	Cette personne est à dénoncer   il a déversé une dizaine de fois si ce n est une centaine  des déchets au centre urbain devant monétique tunisie à quelques mètres du ministère de l environnement (qu est ce que on peut faire SVP) (Photo prise par Talel chaouch)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14199666_10208721485767315_279952396741116209_n.jpg?oh=8a8cc0000d3134e09debd803b8a44dd7&oe=5A3F4FDB	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14199666_10208721485767315_279952396741116209_n.jpg?oh=bb019135c691536715b2357f1302a541&oe=5A4B85CE	https://www.facebook.com/photo.php?fbid=10208721485767315&set=gm.1276338765712321&type=3	facebook.com	2016-09-04T20:30:35+0000	1473021035	2016-09-04 22:30:35	16	1	22	21	44	1	1	0	2	0	16	0	0	1	1	4	0	tunis
video	post_user_1008279892518211	1008279892518211_1273316959347835	https://www.facebook.com/1008279892518211/posts/1273316959347835	Benito Fonyodi shared ‎الحملة الوطنية على فساد الادارة بالبلاد التونسية‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/13538188_984705318315055_2012634563_n.jpg?oh=27ec2ee33917bcf07b4770f50e1c71d2&oe=5A5BF954	https://scontent.xx.fbcdn.net/v/t15.0-10/13538188_984705318315055_2012634563_n.jpg?oh=7ea83114879a921f5518c62d0a163551&oe=5A466C61	https://www.facebook.com/voiture.administration.corruption/videos/984703981648522/	facebook.com	2016-09-01T15:27:03+0000	1472743623	2016-09-01 17:27:03	6	10	10	14	34	10	7	3	8	0	6	0	2	0	0	2	0	tunis
photo	post_user_1008279892518211	1008279892518211_1272525809426950	https://www.facebook.com/1008279892518211/posts/1272525809426950	صورة من تونس	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14100279_249364522125927_948810593107533032_n.jpg?oh=8883158c5e6f88f0c5770bab8a9a45f9&oe=5A444594	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14100279_249364522125927_948810593107533032_n.jpg?oh=be0e06bff4ce809bbd1620185180f061&oe=5A3F2D63	https://www.facebook.com/photo.php?fbid=249364522125927&set=gm.1272525809426950&type=3	facebook.com	2016-08-31T21:14:16+0000	1472678056	2016-08-31 23:14:16	7	8	10	1	19	8	3	5	5	0	7	1	0	2	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1272033272809537	https://www.facebook.com/1008279892518211/posts/1272033272809537	Ain zaghouan nord devant redidence zahret el hadayek installation d un panneau publicitaire 1h du matin.  Question : ce panneau est pour quelle société?	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14192525_10209206779141086_3587281995764621880_n.jpg?oh=9b870ff6245bf32981ac3dff46a35220&oe=5A57A1CE	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14192525_10209206779141086_3587281995764621880_n.jpg?oh=57230c1d726bc9854a9192a63f5b45f5&oe=5A4212BA	https://www.facebook.com/photo.php?fbid=10209206779141086&set=gm.1272033272809537&type=3	facebook.com	2016-08-31T09:35:31+0000	1472636131	2016-08-31 11:35:31	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	zaghouan
photo	post_user_1008279892518211	1008279892518211_1267257279953803	https://www.facebook.com/1008279892518211/posts/1267257279953803	Winou trretoir الصورة من نونس  علاش القانون يطبق علينا الدزيرية مع انو الغالط تونسي  شكون لي لازم يتعاقب فالحالة هاذي	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14102207_905780366194242_4714090029742249847_n.jpg?oh=e313b05a2b3c397fd8e4f45df774cc02&oe=5A5E9236	https://scontent.xx.fbcdn.net/v/t1.0-9/14102207_905780366194242_4714090029742249847_n.jpg?oh=a83e4407bd91b3b8be93f159ec1df272&oe=5A522DAB	https://www.facebook.com/photo.php?fbid=905780366194242&set=gm.1267257279953803&type=3	facebook.com	2016-08-26T15:22:00+0000	1472224920	2016-08-26 17:22:00	124	42	182	132	356	37	33	4	74	0	120	0	9	4	4	41	0	tunis
photo	post_user_1008279892518211	1008279892518211_1270541186292079	https://www.facebook.com/1008279892518211/posts/1270541186292079	يوما ما سأتجول في هذه الشوارع الاوروبية النظيفة و أدرك بأن حلمي قد تحقق و انني غادرت الجحيم التونسي	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14102537_1751121695142284_3276602532651453535_n.jpg?oh=b51d0643aaf0f372ccb9fd3e7767fb6d&oe=5A5FFAAA	https://scontent.xx.fbcdn.net/v/t1.0-9/14102537_1751121695142284_3276602532651453535_n.jpg?oh=ea1657ea339dac17cd2d4c6bbe056ccf&oe=5A57E5C1	https://www.facebook.com/photo.php?fbid=1751121695142284&set=gm.1270541186292079&type=3	facebook.com	2016-08-29T19:38:04+0000	1472499484	2016-08-29 21:38:04	20	19	23	0	42	18	11	7	18	0	19	3	0	0	0	0	0	tunis
photo	post_user_1008279892518211	1008279892518211_1271678486178349	https://www.facebook.com/1008279892518211/posts/1271678486178349	Ain zaghouan nord devant redidence zahret el hadayek installation d un panneau publicitaire 1h du matin.  Question : ce panneau est pour quelle société?	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14212652_10209203772145913_3903403316621616789_n.jpg?oh=190f7a5c33c36a58f744b704da1d6533&oe=5A3F5D51	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14212652_10209203772145913_3903403316621616789_n.jpg?oh=8119bd9fbbedb786e3eb5363c2e30a94&oe=5A553825	https://www.facebook.com/photo.php?fbid=10209203772145913&set=gm.1271678486178349&type=3	facebook.com	2016-08-30T23:53:38+0000	1472601218	2016-08-31 01:53:38	1	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0	zaghouan
link	post_user_1008279892518211	1008279892518211_1270996279579903	https://www.facebook.com/1008279892518211/posts/1270996279579903	http://kapitalis.com/tunisie/2016/07/13/en-tunisie-la-vraie-crise-est-civique-et-culturelle/	https://external.xx.fbcdn.net/safe_image.php?d=AQAxBNWr1Mwm-qgB&w=130&h=130&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2016%2F07%2FIncivisme.jpg&cfs=1&_nc_hash=AQD1qutdGxmOPz3E	https://external.xx.fbcdn.net/safe_image.php?d=AQBopBAKkaAXkkNB&url=http%3A%2F%2Fkapitalis.com%2Ftunisie%2Fwp-content%2Fuploads%2F2016%2F07%2FIncivisme.jpg&_nc_hash=AQD7tZMzKbCpK0fw	http://kapitalis.com/tunisie/2016/07/13/en-tunisie-la-vraie-crise-est-civique-et-culturelle/	kapitalis.com	2016-08-30T07:56:43+0000	1472543803	2016-08-30 09:56:43	17	6	19	1	26	6	6	0	0	0	17	0	0	1	0	1	0	tunis
photo	post_user_1008279892518211	1008279892518211_1271561496190048	https://www.facebook.com/1008279892518211/posts/1271561496190048	غريبه ما تلقاها إلا في تونس	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14199745_552041151662889_111389111049260872_n.jpg?oh=0e7339c1ce113aa65b7c536d629f9b97&oe=5A14461B	https://scontent.xx.fbcdn.net/v/t1.0-9/14199745_552041151662889_111389111049260872_n.jpg?oh=5387aa0d132f21017fa7bb3a80618744&oe=5A5728A8	https://www.facebook.com/photo.php?fbid=552041151662889&set=gm.1271561496190048&type=3	facebook.com	2016-08-30T20:48:50+0000	1472590130	2016-08-30 22:48:50	19	0	23	17	40	0	0	0	0	0	18	0	0	3	0	1	0	tunis
